title,type,genre,release_year,duration,rating,country,date_added
Shadow Secret 11,TV Show,Comedy,1986.0,9 Seasons,5.0,,2024-02-21
  Dark Fall 12  ,Movie,Fantasy,1988.0,110 min,4.6,Colombia,2019-03-10
The Return 13,TV Show,Romance,1986.0,1 Season,4.7,,
Shadow Story 14,TV Show,Horror,2007.0,unknown,8.3,,2023-07-05
Lies 15,TV Show,Comedy,2013.0,2 Seasons,6.9,Netherlands,2021-10-10
Chronicles 16,Movie,Family,1995.0,64 min,4.3,,2025-07-12
Wild Truth 17,Movie,,1989.0,107 min,,France,
Lost Awakening 18,MOVIE,,2003.0,61 min,   ,  uk  ,2021-06-20
War 19,Movie,History,1989.0,188 min,,,2022-10-13
   ,Movie,,,134 min,7.2,,2016-08-04
End 21,TV Show,Crime,2008.0,10 Seasons,,   ,
Journey 22,TV Show,,2004.0,3 Seasons,   ,Japan,2022-09-09
Awakening 23,Movie,History,2020.0,166 min,8.9,Australia,
End 24,Movie,,2009.0,,7.7,   ,2023-08-08
A Tales 25,TV Show,,1998.0,10 Seasons,6.5,Norway,2025-11-23
Broken Mission 26,Movie,Thriller,2010.0,92 min,8.1,Brazil,2022-01-21
Adventures 27,Movie,Drama,2009.0,97 min,5.8,Brazil,2024-09-19
Shadow Mission 28,TV Show,Animation,2013.0,9 season,6.2,,2020-07-22
A Rise 29,TV Show,Comedy,2007.0,10 Seasons,,USA,2020-05-12
Return 30  ,Movie,Adventure,1998.0,128 min,9.4,,2015-09-11
Last Secret 31,TV Show,Adventure,1990.0,2 Seasons,5.5,,2020-11-30
Silent Awakening 32,Movie,Mystery,,190 min,6.5,Sweden,2023-12-07
Day 33,TV Show,Drama,1985.0,,8.8,,   
Awakening 34,Movie,Animation,1996.0,89 min,4.0,TURKEY,2021-09-25
Wild Soul 35,Movie,Horror,,123 min,5.2,,2019-02-01
Lies 36,TV Show,Animation,2006.0,8 Seasons,8.0,Brazil,2024-06-05
Shadow Lies 37,Movie,Documentary,2022.0,127 min,7.9,Poland  ,2022-05-11
,TV Show,Music,2015.0,9 Seasons,6.8,,2018-02-04
Final Death 39,TV Show,Thriller,1980.0,4 Seasons,7.7,Sweden,2015-01-25
First Rise 40  ,TV Show,Drama,1995.0,,5.2,  Japan  ,2019-11-04
A Truth 41,TV Show,Sci-Fi  ,1983.0,7 Seasons,7.4,Colombia,
Hidden Life 42,Movie,Crime,2002.0,123 min,3.8,,2018-08-14
War 43,TV Show,,2011.0,,9.4,Brazil  ,
Midnight Return 44,Movie,  Mystery,1982.0,137 min,7.3,,
Mission 45,Movie,,2023.0,93 min,4.6,Egypt,2015-04-29
Perfect Chronicles 46,TV Show,   ,2000.0,1 Season,7.8,,2030-05-15
  Mission 47  ,Movie,Animation,2003.0,181 min,,Turkey,2020-09-11
A Awakening 48,Movie,Music,1994.0,8 hrs,9.3,,2025-04-09
Secret End 49,Movie,,1990.0,153 min,5.2,   ,2018-06-27
Lost Day 50,Movie,MUSIC,1982.0,195 min,   ,France,2023-05-18
Last Truth 51,TV Show,,1998.0,5 Seasons,4.6,Turkey,2016-01-09
Last Justice 52,Movie,,,189 min,6.0,South africa,2022-02-20
Deadly Adventures 53,Movie,,1987.0,127 min,4.9,Argentina,2024-03-06
  Dream 54,TV Show,Drama,2013.0,6 Seasons,8.0,,2017-10-28
Midnight Revenge 55,Movie,THRILLER,2013.0,,3.8,Thailand,2019-02-04
Broken Life 56,Movie,,2023.0,115 min,-1.7761397892638946,USA,   
  Hidden War 57,Movie,   ,2019.0,7 hrs,5.4,  USA,
Wild End 58,MOVIE,Horror,   ,177 min,   ,Denmark,
War 59,Movie,Thriller,2005.0,105 min,5.3,Argentina,2021-04-04
Secret Adventures 60,TV Show,,,10 Seasons,,UK,2017-02-14
Shadow Truth 61,Movie,Sci-Fi,2011.0,NA,5.4,  Italy,   
  Heart 62  ,TV Show,   ,2048,1 Season,,Netherlands,2023-04-19
Shadow End 63,TV Show,Romance,2022.0,5 Seasons,7.9,USA,2017-03-18
Lost End 64,TV Show,Thriller,1989.0,3 Seasons,,Canada,2021-01-20
Wild Night 65,Movie,,1989.0,175 min,9.2,,2010
  A Soul 66  ,Movie,,1990.0,160 min,8.5,,2015-09-10
   ,Movie,Adventure,1993.0,124 min,8.5,Egypt,2023-03-29
Broken Justice 68,TV Show,Thriller,2010.0,2 Seasons,5.8,Japan,2019-09-30
Night 69,Movie,Documentary,1988.0,121 min,,UK,2018-08-22
   ,Movie,Drama,1985.0,81 min,4.8,Canada,2022-11-16
  Last Fall 71  ,Movie,,2014.0,197 min,6.2,Italy,2019-03-13
Dark Justice 72,Movie,Horror,2013.0,147 min,-1.9320829688700172,Colombia,   
Secret 73,Movie,Animation,,,4.8,Canada,2016-08-05
The Awakening 74,Movie,,1997.0,179 min,14.50858406250173,South Korea,2021-01-03
,Movie,Horror,2002.0,184 min,,Argentina,2016-04-25
  Hidden Night 76,Movie,Thriller,2009.0,159 min,9.4,Japan,2016-06-22
Final Fall 77,Movie,War,1982.0,178 min,7.9,,2015-10-11
Heart 78,TV Show,comedy,1994.0,,9.1,  India  ,2025-09-15
Rise 79,Movie,Music,2016.0,101 min,6.5,India,2020-12-01
Death 80,Movie,Fantasy,2046,66 min,9.4,,2018-01-18
Forgotten Tales 81,Movie,History,2035,131 min,4.7,Argentina,2030-05-15
   ,Movie,Comedy,1994.0,,,South Africa,2020-06-15
Final Awakening 83,TV Show,,1982.0,7 Seasons,5.1,Norway,2019-05-10
Fall 84,MOVIE,Drama,,159 min,4.9,Brazil,2019-07-19
  Wild Night 85    ,TV Show,Sci-Fi,2010.0,7 Seasons,,Egypt,2020-07-19
Chronicles 86,TV Show,,1986.0,1 Season,,Colombia,2017-10-19
A Life 87,TV Show,,,4 Seasons,4.0,India,2022-11-19
Forgotten Heart 88,MOVIE,Fantasy,1990.0,164 min,5.7,Netherlands,2025-04-15
Midnight End 89,Movie,,2007.0,98 minute,0.0,South Korea,2021-05-22
Lies 90,tv show,DOCUMENTARY,,1 Season,4.1,   ,2015-05-10
   ,Movie,,2022.0,91 min,   ,Egypt,2018-04-11
Secret Night 92,TV Show,Action,2025.0,,8.6,Italy,2021-05-31
Shadow Rise 93,TV Show,THRILLER,2019.0,2 Seasons,7.6,Thailand,
Truth 94,TV Show,Action,2004.0,5 Seasons,3.9,,2015-02-25
Final Code 95,Movie,Sci-Fi  ,1996.0,76 min,4.6,Thailand,2020-01-08
Secret 96,TV Show,Crime,   ,6 Seasons,3.9,,2021-02-19
,TV Show,War,2000.0,6 Seasons,3.9,Canada,2025-01-02
Secret 98,TV Show,Family,2033,3 Seasons,8.9,Mexico,2025-05-10
,Movie,   ,1989.0,158 min,,Argentina,2016-12-25
,Movie,Mystery  ,1985.0,121 min,6.6,   ,   
Silent Tales 1,Movie,Crime  ,1991.0,63 min,5.4,,2017-06-17
Wild Death 2,Movie,War,   ,,7.2,Australia,2017-03-05
Perfect Life 3,Movie,Crime,2024.0,135 min,5.2,USA,2019-07-03
Rise 4,TV Show,Action,2012.0,8 Seasons,4.4,   ,2025-11-07
Deadly Chronicles 5,Movie,  Animation,2015.0,124 min,6.4,   ,2024-03-15
The War 6,TV Show,Horror,1998.0,1 Season,8.6,Thailand,2016-05-26
Broken Love 7,Movie,Adventure,1984.0,198 min,7.6,Thailand,2025-03-27
Secret Truth 8,Movie,,2024.0,73 min,8.2,,2019-07-07
The Journey 9,Movie,Action,2021.0,127 min,4.6,Japan,2015-01-08
Journey 10,Movie,Fantasy,2008.0,66 min,9.3,south korea,2023-04-03
Secret Tales 11,TV Show,Documentary,2016.0,   ,   ,Mexico,2019-10-08
Wild Story 12,Movie,,2031.0,160 min,6.6,India,2024-07-20
Heart 13,Movie,Comedy,1847,,5.7,Canada,2023-05-03
Last Heart 14,Movie,Sci-Fi,,0 hrs,7.1,Netherlands  ,2025-04-18
The Day 15,TV Show,,1994.0,6 Seasons,,Canada,2017-03-27
  Lost Return 16  ,Movie,,1984.0,131 min,4.2,   ,2015-09-13
Journey 17,Movie,Romance,2017.0,-17 min,4.3,Netherlands,2025-08-16
Adventures 18,Movie,Adventure,1990.0,,5.5,Spain,2016-12-16
Last Mystery 19,Movie,Drama,1999.0,133 min,,canada,2019-01-20
First Lies 20,Movie,DRAMA,2008.0,139 min,4.4,Brazil  ,2021-03-11
Perfect Code 21,TV Show,Mystery,1993.0,5 Seasons,   ,Colombia,2024-02-15
A Heart 22,Movie,Sci-Fi,2005.0,   ,,Spain,2017-09-02
Dream 23,Movie,Horror,   ,121 min,,,2025-04-11
Lost War 24,Movie,Action,1989.0,   ,7.6,Norway,2019-05-09
Silent Journey 25,Movie,Romance,,135 min,6.0,Egypt,2024-09-11
,MOVIE,Thriller,2023.0,131 min,6.9,denmark,2023-05-21
Dark Adventures 27,TV Show,Music,2020.0,2 Seasons,7.2,,Invalid Date
Lost Love 28,TV Show,thriller,2020.0,1 Season,7.6,Germany,2025-07-08
Deadly Chronicles 29,TV Show,Romance,2004.0,1 Season,4.9,,2019-04-16
Forgotten Legend 30,TV Show,,1989.0,1 Season,6.6,Sweden,2023-11-12
Adventures 31,Movie,Adventure  ,,184 min,9.5,   ,2021-03-01
Last Tales 32,Movie,Documentary,2011.0,63 min,4.6,Japan,2025-06-13
Blood Fall 33,Movie,Sci-Fi,2013.0,197 min,4.0,,2025-03-12
Wild Mystery 34,Movie,Romance,2002.0,   ,3.9,Spain,2016-09-04
Silent Awakening 35,Movie,,2012.0,,7.5,,2022-07-18
Lost Mystery 36,Movie,,2011.0,96 min,,  Norway  ,2018-03-11
  First Secret 37  ,TV Show,Animation,,3 Seasons,,Poland,2015-08-20
Beginning 38  ,TV Show,History,2001.0,5 Seasons,,,2019-04-30
Midnight Dream 39,tv show,Mystery,2002.0,9 Seasons,7.8,South Africa,2025-07-29
   ,TV Show,Crime,1998.0,3 Seasons,8.0,South Africa,   
   ,Movie,History,2002.0,192 min,5.1,,2024-11-04
A Tales 42,Movie,war,2001.0,,,Germany  ,2017-05-09
War 43,TV Show,Animation,2009.0,10 Seasons,8.3,Japan,2023-04-14
Midnight Awakening 44,Movie,Action,1998.0,132 min,5.7,Japan,2020-10-22
Last Secret 45,Movie,Thriller  ,2001.0,63 min,6.6,   ,2022-01-26
Awakening 46,Movie,Fantasy,1980.0,157 min,8.9,Italy,2017-08-06
Fall 47  ,Movie,History,2013.0,93 min,,,2024-04-12
   ,Movie,Thriller,2005.0,,4.3,Brazil,2018-03-16
Rise 49,Movie,History,,90 min,,,2023-02-22
Midnight War 50,Movie,Action,2024.0,180 min,7.5,South Africa,2019-11-14
Awakening 51,TV Show,Thriller,   ,1 Season,,Denmark,2025-10-26
Midnight Game 52,Movie,Fantasy,2007.0,197 min,,France,2019-10-03
Secret Game 53,Movie,Romance,2016.0,152 min,4.0,South Africa,2015-09-29
Wild Truth 54,Movie,,1982.0,173 min,,Germany,2016-03-16
Death 55,Movie,War,2007.0,189 min,4.8,,2020-06-27
Secret Lies 56,TV Show,Music,,8 Seasons,,UK  ,2018-03-20
   ,TV Show,,1999.0,8 Seasons,6.7,Italy,2025-05-09
Forgotten Soul 58,TV Show,Family,1981.0,,0,Turkey,2021-12-28
Hidden Dream 59,Movie,Thriller  ,2016.0,161 min,4.9,Poland,
,Movie,Comedy,1980.0,156 min,8.3,   ,2019-01-19
,Movie,Documentary,2025.0,,12.9430259544407,Sweden,   
Deadly Fall 62,Movie,,,134 min,5.3,Netherlands,Invalid Date
Life 63,Movie,,2023.0,   ,6.2,Norway,2025-03-07
Death 64,Movie,Fantasy,2021.0,121 min,4.5,  Italy  ,   
Love 65,Movie,History,1824,134 min,8.1,   ,2019-07-13
   ,TV Show,Crime,,6 Seasons,3.7,Sweden,2020-03-03
Rise 67,Movie,War,2016.0,104 min,6.1,COLOMBIA,2021-05-20
Tales 68,TV Show,Drama,2004.0,9 Seasons,6.8,,2020-11-12
Blood Dream 69,Movie,War,2020.0,-11 min,4.2,Canada,2025-09-24
Game 70,MOVIE,History,1998.0,92 min,   ,,2025-11-24
Midnight Return 71,TV Show,Romance,2004.0,   ,   ,  Germany  ,2025-07-26
Legend 72,TV Show,,   ,3 Seasons,6.8,,2021-08-31
The Revenge 73,Movie,,2025.0,61 min,8.9,,22/01/2020
Deadly Justice 74,Movie,   ,2005.0,62 min,,Japan,2022-01-26
,Movie,COMEDY,,168 min,   ,,09/08/2019
Deadly Life 76,Movie,,1999.0,unknown,8.4,  Denmark,2018-05-25
A End 77,TV Show,,1982.0,2 Seasons,4.8,USA,2018-03-06
Deadly Mystery 78,TV Show,music,2004.0,5 Seasons,3.6,South Africa,2017-04-28
Last Game 79,Movie,Music,2000.0,184 min,0,France,2017-08-03
Final Love 80,Movie,Fantasy,2013.0,196 min,5.0,,2015-12-28
Chronicles 81,Movie,Family,,81 min,7.8,Egypt,2022-11-19
Silent War 82,Movie,Family,2003.0,,,,2016-11-11
   ,TV Show,Thriller,2020.0,3 Seasons,6.4,Spain,2018-07-07
Tales 84,TV Show,Family,2004.0,5 Seasons,3.8,,2018-02-03
   ,Movie,Animation,1980.0,119 min,8.8,south africa,2020-06-25
Journey 86,Movie,,2008.0,172 min,0.0,Poland  ,2022-07-26
Lost Game 87,Movie,Drama,2011.0,   ,,Turkey,2019-03-16
  Broken Beginning 88,Movie,Family,1818.0,198 min,3.6,  South Korea,2019-04-08
A Soul 89,Tv show,Sci-Fi,2014.0,8 Seasons,7.7,,2015-03-14
Silent Adventures 90,movie,,1995.0,152 min,6.5,Germany,2021-03-09
Forgotten Story 91,Movie,Crime,2011.0,105 min,5.1,AUSTRALIA,
Heart 92,Movie,Family,1994.0,NA,,,2015-03-26
Soul 93,TV Show,Documentary,,9 Seasons,,  France,2020-02-01
Deadly Rise 94,Movie,Documentary,1989.0,165 min,7.1,DENMARK,
Blood Revenge 95,TV Show,Animation,2001.0,9 hrs,7.9,  Mexico,2017-07-08
Silent Day 96,TV Show,,   ,3 Seasons,4.0,,2022-08-18
A Fall 97  ,TV Show,History,1987.0,,7.6,Poland,2020-04-09
Silent Adventures 98,movie,   ,1994.0,130 min,6.1,USA,
Beginning 99,MOVIE,THRILLER,1999.0,126 min,9.1,FRANCE,2016-11-23
The Return,Movie,Documentary,2004.0,93 min,8.8,Argentina,Invalid Date
Broken Mission 1,Movie,Sci-Fi,1991.0,157 min,,Colombia,2018-03-08
Perfect Code 2,Movie,War,,112 min,7.9,Turkey,2016-05-18
Journey 3,Movie,Mystery,1983.0,114 min,,Denmark,2018-06-12
Perfect Legend 4,Movie,Drama,,144 min,,  Spain  ,2025-03-26
Broken Justice 5,TV Show,Romance,1989.0,6 Seasons,,South Korea,2025-13-45
Justice 6,Movie,DRAMA,1994.0,73 min,11.765459155310808,Turkey,2015-10-24
Chronicles 7,Movie,Sci-Fi,1984.0,182 min,5.5,,2021-12-06
Blood Return 8,TV Show,Mystery,2011.0,9 Seasons,7.7,,2021-01-16
Wild Beginning 9,TV Show,War,2011.0,3 Seasons,8.7,,2023-01-20
,TV Show,Drama,,10 Seasons,8.4,Canada,2016-03-06
Silent Legend 11,TV Show,Thriller  ,2001.0,9Seasons,7.2,    Turkey  ,2023-03-16
Deadly Rise 12,TV Show,Sci-Fi,1991.0,4 Seasons,6.5,  Argentina  ,2015-08-12
Lost Love 13,Movie,Romance,1990.0,62 min,4.0,Norway,2023-09-12
Lost Legend 14,Movie,Adventure,2003.0,134 min,,South Africa,2025-02-14
Midnight Adventures 15,Movie,Action,,193 min,7.1,Egypt,2016-08-26
,Movie,Music,2024.0,114 min,7.0,,
Rise 17,Movie,Romance,2020.0,124 min,8.0,Egypt,2015-03-11
Dark Rise 18,Movie,Romance,1995.0,198 min,11.035290977148986,Brazil,2020-07-13
  Blood Mystery 19  ,Movie,Horror,1995.0,128 min,   ,Denmark,2023-10-10
Adventures 20,Movie,Animation  ,1980.0,,7.4,Argentina,2021-01-02
Deadly Justice 21,Movie,,2002.0,67 min,6.1,Japan,2023-10-22
  Silent Rise 22  ,tv show,Family,1870,3 Seasons,3.9,Denmark,2018-08-05
Lost Life 23,Movie,Horror,2011.0,145 min,0,Germany,2030-05-15
Broken Truth 24,TV Show,Documentary,2015.0,3 Seasons,6.7,india,2019-12-05
Life 25,Movie,,2016.0,158 min,6.5,Colombia,2017-05-29
Dark Beginning 26  ,TV Show,History,1982.0,1 Season,6.9,Turkey,
   ,TV Show,Fantasy,1992.0,9 Seasons,,Denmark,2023-09-16
Secret 28,TV Show,Documentary,2007.0,4 Seasons,3.9,Netherlands  ,2022-02-06
Shadow Revenge 29,TV Show,Drama,2007.0,5 Seasons,3.6,Netherlands,
First Lies 30,Movie,,2024.0,143 min,4.9,Egypt  ,2018-08-28
Shadow End 31,TV Show,Animation,2003.0,,6.7,Japan,2015-01-20
Dark Story 32,TV Show,Sci-Fi,1992.0,,5.5,Poland,2025-09-20
Day 33,TV Show,Fantasy,2003.0,   ,7.0,Denmark,   
Journey 34,tv show,Music,1984.0,3 Seasons,7.3,USA,2025-01-13
Hidden Life 35,Movie,Crime,1996.0,178 min,4.5,Mexico,2017-01-17
Blood Chronicles 36,TV Show,Mystery,2031.0,,7.0,,2023-08-12
Midnight Truth 37,Movie,   ,1997.0,95 min,-0.9556763995751416,Spain,2017
Beginning 38,Movie,Music,2012.0,,9.3,,2019-11-04
Hidden Lies 39,MOVIE,Animation,2010.0,,,,2020-05-06
Forgotten Adventures 40,TV Show,Documentary,2013.0,5Seasons,4.7,Denmark,2025-13-45
Midnight Day 41,Movie,Fantasy,,181min,8.9,Norway  ,2023-03-30
Blood Code 42,Movie,History,2024.0,82 min,8.0,,2022-08-18
Life 43,Movie,  Family  ,2011.0,103 min,4.9,France,2016-09-19
Code 44,TV Show,  Fantasy,1989.0,,5.5,Mexico,2025-13-45
Midnight Night 45,Movie,,2010.0,115 min,6.1,,2017-04-04
Shadow Awakening 46,Movie,Music,2014.0,98 min,,UK,2022-07-07
  Soul 47  ,Movie,,,189 min,7.2,Germany,2021-02-21
Wild Chronicles 48,TV Show,Comedy,2006.0,4 Seasons,-0.659730071793492,Australia,2023-10-06
Adventures 49,TV Show,Action,,unknown,,brazil,2016-06-23
Adventures 50,TV Show,Comedy,2036,,4.6,India,
  Fall 51  ,Movie,Adventure,1991.0,131 min,5.7,  Brazil,2020-02-01
Silent Journey 52,TV Show,,1983.0,6 Seasons,,   ,2020-12-06
Shadow Awakening 53,Movie,Comedy,2002.0,110 min,7.7,,2016-03-06
,MOVIE,   ,2013.0,166 min,8.9,South Korea,2016
Deadly Code 55,Movie,Horror,2002.0,196min,,Netherlands,2019-08-31
Forgotten Rise 56,Movie,Documentary,,149 min,,Colombia,2021-09-11
Tales 57,TV SHOW,,1999.0,5 Seasons,7.8,France,2019-05-08
Lost Beginning 58,Movie,,1999.0,160 min,3.7,,2023-09-05
Final Story 59,Movie,fantasy,,114 min,0.0,,2020-06-24
Forgotten Life 60,Movie,Comedy  ,1992.0,170 min,,Netherlands,2019-03-26
Revenge 61,Movie,Action,2007.0,131 min,8.5,South africa,2020-04-06
Justice 62,Movie,,2003.0,99 min,7.1,France,2015-11-24
Secret Mystery 63,Movie,Horror,2001.0,165 min,7.3,,
Soul 64,Movie,Mystery,2001.0,,4.4,Germany,2021-05-14
Love 65,TV Show,Thriller,2019.0,7 Seasons,3.9,,2020-11-26
Perfect Beginning 66,TV Show,Mystery,1990.0,1 Season,4.1,   ,2017-09-30
Forgotten Return 67,TV Show,Horror,1987.0,8 Seasons,-1.999834577069494,,2021-03-09
Dark Lies 68,Movie,Family,2011.0,unknown,,,2019-06-16
Blood Soul 69,TV Show,Family,2003.0,5 Seasons,5.9,UK,2018-06-12
Perfect Beginning 70,TV Show,   ,1991.0,5 Seasons,5.3,Spain,2025-12-15
First Death 71,TV Show,Animation,2019.0,1 Season,8.8,Egypt,2021-03-07
Mystery 72,Movie,Horror,2000.0,,4.0,Egypt,2021-02-16
Story 73,Movie,history,1982.0,60 min,4.4,Poland,   
Code 74,TV Show,,2018.0,2 Seasons,6.1,,2023-12-02
  Blood Revenge 75,movie,Crime,,163 min,   ,,2020-04-20
Blood Awakening 76,Movie,Music,1997.0,200 min,4.4,,2020-11-02
  Return 77  ,Movie,Mystery,2021.0,131 min,9.3,Norway,2022-09-23
Day 78,Movie,   ,1985.0,7 hrs,6.5,,
Perfect Dream 79,TV Show,Mystery,2015.0,6 Seasons,4.1,Canada,2022-03-22
  Secret Death 80  ,Movie,Action,2024.0,,3.8,,2025-09-13
Silent Dream 81,Movie,Adventure,1994.0,171 min,,Japan,2020-09-07
Code 82,TV Show,  Music,,9 Seasons,5.8,Poland,2022-08-18
Midnight End 83,Movie,,1994.0,69 min,   ,  Spain,2022-03-24
Life 84,MOVIE,Crime,2017.0,79 min,7.6,,2020-05-27
  Lost Game 85  ,Movie,  Mystery  ,2023.0,186 min,7.7,Germany,   
Shadow Mystery 86,TV Show,History,2003.0,9 Seasons,5.7,,2023-06-25
Tales 87,Movie,Horror,1986.0,73 min,9.2,Australia,
  Lies 88,TV Show,  Horror,1819,4 Seasons,   ,,2025-12-11
   ,Movie,  Documentary  ,1990.0,,5.8,Sweden,2017-03-13
Story 90,Movie,  action  ,1995.0,123 min,8.2,South Africa,Invalid Date
Broken Game 91,Movie,   ,,196 min,8.4,Australia,2015-09-22
Rise 92,Movie,History,2004.0,84 min,5.2,South Korea,2024-06-19
End 93,TV Show,Comedy,1993.0,2 Seasons,7.6,Sweden,2016-09-30
End 94,TV Show,Music,1980.0,3 Seasons,7.3,,2021-05-10
Fall 95,Movie,Animation,1999.0,188 min,3.7,,2017-12-28
Hidden Night 96,Movie,,2007.0,145 min,,Netherlands,2019-03-19
Deadly Adventures 97,TV Show,Fantasy,2017.0,6 Seasons,4.1,Italy,2019-02-15
Rise 98,Movie,family,2013.0,99 min,8.8,Sweden,2025-01-25
Final Story 99,Movie,,1988.0,91 min,9.2,Turkey,2020-07-01
Dark Adventures,TV Show,Animation,1999.0,1 Season,,Norway,2024-08-16
Dream 1,Movie,Drama,2022.0,168 min,5.4,Mexico,2019-09-03
The Legend 2,TV Show,Drama,,6 Seasons,8.7,Netherlands,2025-05-27
Last Justice 3,Movie,  Family  ,2010.0,,3.8,Argentina,2022-05-29
Midnight Awakening 4,TV Show,Sci-Fi,2000.0,,7.6,,2025-13-45
Midnight Life 5,Movie,Family  ,2001.0,,4.2,   ,2022-03-27
Deadly Life 6,Movie,Documentary,,154 min,3.6,,2024-02-19
First Game 7,Movie,Fantasy,2023.0,-17 min,   ,South Africa,2016-07-09
  Dark Code 8,Movie,,,,9.3,South Africa,2018-01-24
Lies 9,Movie,  Drama  ,   ,155 min,8.0,   ,2021-08-16
Forgotten Game 10,Movie,Crime,2017.0,137 min,6.6,Egypt,2016-01-25
Wild Tales 11,Movie,Animation,1999.0,   ,9.1,,2025-09-26
Silent Code 12,TV Show,Thriller,2011.0,1 Season,6.0,South Korea,2016-06-05
The Legend 13,Movie,mystery,   ,62 min,,Australia,2025-01-16
  Final Legend 14  ,Movie,Fantasy,1999.0,129 min,   ,   ,2018-06-16
Story 15,Movie,  Romance  ,2020.0,187 min,8.5,USA,2019-08-01
Shadow Night 16,Movie,,2001.0,128 min,5.2,France,2021-05-06
Mystery 17,Movie,horror,2021.0,-46 min,5.4,France,2025-10-25
Chronicles 18,Movie,Crime,2017.0,188 min,,South Africa,2015-03-31
Dark Life 19,TV Show,Adventure,2024.0,4 Seasons,,South Africa,
A Revenge 20,Movie,,2016.0,118 min,,Italy,2019-02-10
Day 21,Movie,Sci-Fi,1994.0,195 min,,   ,2021-09-26
Blood Rise 22,Tv show,CRIME,1991.0,unknown,8.0,  italy,2022-06-02
Secret Lies 23,TV Show,Animation,1988.0,2 Seasons,6.1,Mexico  ,2019-04-11
The Journey 24,Movie,,2016.0,87 min,9.0,   ,2023-08-09
Truth 25,TV Show,Thriller,2023.0,10 Seasons,5.0,Japan,Invalid Date
War 26,Movie,History,1994.0,167 min,6.3,Colombia,2015-12-25
,Tv show,,2023.0,3 Seasons,7.7,Sweden,2019-11-14
Forgotten Mission 28,MOVIE,Horror,2001.0,132 min,5.0,France,2019-10-10
Mystery 29,TV Show,,1991.0,1 Season,4.9,France,2018-05-23
Perfect Love 30,TV SHOW,Documentary,2006.0,3 Seasons,7.9,USA  ,
  Last Code 31,Movie,,1998.0,65 min,4.6,Netherlands,2015-02-09
Dark End 32,movie,Animation,2004.0,104 min,4.2,Thailand,2015-11-27
Hidden Game 33,Movie,Documentary,1989.0,140 min,5.1,,2020-06-17
Code 34,Movie,  History  ,2014.0,   ,8.4,Australia,2017-12-29
Secret Justice 35,Movie,History,2023.0,107 min,,UK,2021-02-21
Blood Awakening 36,Movie,Documentary,1991.0,119 min,4.1,Netherlands,2025-13-45
Blood Revenge 37,Movie,,,,4.2,Colombia,2015-08-24
First Legend 38,Movie,Fantasy  ,1990.0,83 min,,,2025-04-21
Final Fall 39,Movie,Sci-Fi,2018.0,0 hrs,9.2,India,2021-08-28
Hidden Beginning 40,Movie,family,1998.0,,,,2022-11-06
Perfect Adventures 41,Movie,Romance,2002.0,199 min,8.6,   ,2015-06-18
Dark Death 42,TV Show,Fantasy,1846,4 Seasons,8.8,Thailand    ,
Midnight Truth 43,Movie,,1994.0,162 min,5.7,Sweden,2022-12-20
    Lost Love 44  ,Movie,Crime,1999.0,72 min,6.5,,2017-06-15
  Forgotten Game 45  ,TV Show,Sci-Fi,2004.0,1 Season,6.9,   ,2015-04-08
Wild Soul 46  ,Tv show,Action,,1 hrs,8.1,Italy,2022-08-28
Legend 47,Movie,Crime,1989.0,82 min,,,   
Fall 48,TV Show,,2008.0,,6.5,,2025-06-30
Last Heart 49,Movie,,1991.0,   ,3.9,Germany,2021-04-10
Revenge 50,TV Show,Adventure,2012.0,5 Seasons,3.8,Argentina,2020-06-06
Last Journey 51,Movie,Sci-Fi,2002.0,93 min,7.9,Norway,2022-09-26
,Movie,Drama,   ,108 min,,UK,2024-11-17
Wild Justice 53,Movie,Sci-Fi,2002.0,,4.0,Colombia,2020-09-15
   ,TV Show,Fantasy,2016.0,8 Seasons,,Poland  ,2025-02-04
Shadow Legend 55,Movie,Romance,2001.0,169 min,7.6,ARGENTINA,2017-07-15
Broken End 56,Movie,Crime,2008.0,156 min,6.5,Brazil,2025-05-01
Life 57,Movie,Animation,,138 min,   ,,2017-03-16
Secret War 58,tv show,  Action  ,1981.0,10 Seasons,5.9,Sweden,   
First Journey 59,TV Show,Sci-Fi,   ,6 Seasons,4.2,Japan,
The Life 60,Movie,Horror,1984.0,123 min,   ,Spain,2025-13-45
  Final Mission 61  ,Movie,Comedy  ,2006.0,188 min,4.2,Norway,2023-12-19
  A Night 62  ,Movie,War,,97 min,6.4,South Africa,2019-10-12
Broken Lies 63,Movie,Drama,1997.0,191 min,,Turkey,2024-03-22
Shadow Fall 64,TV Show,Comedy,1992.0,7 Seasons,3.9,South Korea,2024-05-20
A Return 65,Movie,Action,2001.0,60 min,   ,Australia,
Dark Revenge 66,Movie,,,95 min,,Egypt,2025-10-26
Forgotten Legend 67,Movie,History,1991.0,160 min,9.4,SOUTH AFRICA,2022-05-20
Dark Day 68,Movie,Mystery,2011.0,101 min,5.6,  USA,2019-12-03
Forgotten Mystery 69,Movie,Comedy,2015.0,99 min,4.4,South Korea,2030-05-15
   ,Movie,Comedy,1986.0,114 min,4.6,Australia    ,2025-04-08
   ,Movie,History,   ,131 min,4.0,Mexico,2015-12-22
Shadow Secret 72,Movie,History,2019.0,113 min,4.0,Spain,
A Justice 73,Movie,Adventure,2016.0,,4.7,Brazil,2019-10-14
Lost Journey 74,Movie,Mystery,1985.0,61 min,6.3,Mexico,2024-10-11
