işlem_id,müşteri_id,işlem_tarihi,işlem_saati,tutar,para_birimi,işlem_tipi,kanal,cihaz,ip_adresi,konum_il,kart_türü,merchant_kategori,fraud_etiket
TRX7811312592,C4817033144,2024/05/24,22:11:10,52.17,EUR,Para Yatırma,Mobil Uygulama,MacBook,219.137.190.234,G.Antep,Banka Kartı,,0
TRX2825908721,C7909698304,2024-07-03,11:01:29,-141.38,EUR,Fatura Ödeme,Mobil Uygulama,Samsung S23,55.122.109.92,Eskişehir,Kredi Kartı,Sağlık,0
TRX0825778246,C8568954392,2024-06-16,14:48:40,,EUR,İade,Web,MacBook,195.72.51.30,Şanlıurfa,Kredi Kartı,Market,0
TRX8955700927,C5411758066,,17:09:23,208.32,EUR,Para Yatırma,POS,Android Tablet,52.81.25.178,Şanlıurfa,Banka Kartı,Seyahat,0
TRX3874732085,C5470479688,2025-06-07,20:46:49,85.14,TRY,Alışveriş,Mobil Uygulama,Huawei P40,203.166.84.240,Gaziantep,,Market,0
TRX7895450203,C0935114920,06/11/2024,,33.29,TRY,Alışveriş,Mobil Uygulama,Windows PC,218.188.75.66,Samsun,Kredi Kartı,Abonelik,0
TRX9318058411,C3457208905,2024-03-08,08:13:38,,TRY,Havale/EFT,,Samsung S23,197.132.136.81,Antalya,,Kuyumcu,0
TRX3763358147,C9392512180,2025-01-31,19:51:51,94.55,TRY,İade,POS,iPhone 13,222.87.222.217,Bursa,,Abonelik,0
TRX2031379993,C8546068930,2025-07-12,02:13:38,386.92,TRY,Alışveriş,Çağrı Merkezi,,236.110.14.89,Kocaeli,Banka Kartı,Seyahat,0
TRX4092610297,C3662308966,2024-12-27,10:49:16,65.21,TRY,Alışveriş,Çağrı Merkezi,Samsung S23,234.73.223.134,Antalya,Ön Ödemeli,Giyim,0
TRX0359932421,C7710272589,2024-07-23,11:36:30,64.05,TRY,Alışveriş,POS,MacBook,61.246.180.17,Mersin,Kredi Kartı,Sağlık,0
TRX9401274298,C0736834218,2025-03-27,09:05:49,105.92,TRY,Alışveriş,,Xiaomi Mi 11,111.185.7.199,Konya,,Sağlık,0
TRX1167625970,C5658393605,2025-05-18,03:49:06,92.94,USD,Alışveriş,Web,iPhone 13,175.66.xx.144,Tekirdağ,Banka Kartı,Sağlık,0
TRX4460190248,C9893308968,2025-03-26,,29.92,USD,Alışveriş,Mobil Uygulama,Huawei P40,146.39.243.1,Eskişehir,Ön Ödemeli,Abonelik,0
TRX0458999901,C3609908985,2025-10-27,04:04:56,67.85,TRY,Havale/EFT,,Android Tablet,179.115.105.19,Mersin,Banka Kartı,Abonelik,0
TRX0666450116,C3831297517,2024-08-27,02:06:04,23.56,EUR,Alışveriş,Mobil Uygulama,Windows PC,132.245.86.67,İstanbul,,Akaryakıt,0
TRX0165292806,C1521806464,09.04.2025,14:26:34,519.36,TRY,Havale/EFT,POS,iPhone 14 Pro,23.33.114.14,Balıkesir,Kredi Kartı,Yemek,0
TRX6280366141,C5234343234,2025-10-13,01:50:58,124.62,TRY,Alışveriş,Mobil Uygulama,Samsung S21,125.101.114.14,,Ön Ödemeli,Yemek,0
TRX7542723403,C4953676847,2024-06-11,06:59:32,96.10 TL,TRY,Alışveriş,Mobil Uygulama,Android Tablet,32.156.61.188,Balıkesir,Banka Kartı,Yemek,0
TRX2400328541,C8533070498,02.08.2024,20:15:23,147.05,TRY,Alışveriş,ATM,Samsung S21,197.53.38.237,Mersin,Kredi Kartı,Elektronik,0
TRX7561359524,C8099874674,07-02-2024,,142.5,TRY,Alışveriş,Web,MacBook,198.194.47.112,Kayseri,Kredi Kartı,Giyim,0
TRX3414031585,C6816739856,2024-10-12,01:15:18,54.99,TRY,Alışveriş,ATM,Xiaomi Mi 11,39.211.107.62,Balıkesir,,Eğlence,0
TRX0244435565,C6847218980,2024-02-03,07:03:13,70.74,TRY,Havale/EFT,Mobil Uygulama,,,Ankara,Banka Kartı,Market,0
TRX4783147502,C0856906943,2025-07-22,05:40:28,221.24,TRY,Para Çekme,Web,Windows PC,48.250.60.40,Muğla,Kredi Kartı,Abonelik,0
TRX2274218008,C1565509518,2024-03-08,13:41:50,113.81,TRY,Havale/EFT,Mobil Uygulama,Xiaomi Mi 11,246.123.168.148,Diyarbakır,Kredi Kartı,Abonelik,0
TRX9895949333,C8251701975,2025-06-11,05:31:14,,TRY,Havale/EFT,,iPhone 13,189.127.138.105,Kayseri,Sanal Kart,Akaryakıt,0
TRX7339477923,C9987843569,2025-03-17,11:58:38,73.79,TRY,Alışveriş,Mobil Uygulama,Windows PC,195.233.41.165,Mersin,Kredi Kartı,Yemek,0
TRX9938455056,C2953482677,2026-01-22,01:00:00,162.91,TRY,,POS,Huawei P40,52.74.219.192,Diyarbakır,Kredi Kartı,,0
TRX2191156881,C7654288025,2024-09-22,07:28:34,131.26,TRY,Alışveriş,Mobil Uygulama,Android Tablet,191.115.246.48,Diyarbakır,Kredi Kartı,Sağlık,0
TRX3533875073,C5600311045,2024-09-19,06:06:36,244.64,TRY,Para Çekme,Web,Huawei P40,107.237.234.82,İstanbul,Kredi Kartı,Giyim,0
TRX6807492142,C8111889363,04-07-2024,17:58:05,,,Alışveriş,Mobil Uygulama,iPhone 14 Pro,178.37.223.153,Samsun,Ön Ödemeli,Akaryakıt,0
TRX0802427773,C7246601616,2025-02-13,03:11:24,150.83,TRY,Para Yatırma,,MacBook,30.65.223.46,Şanlıurfa,Kredi Kartı,,0
TRX7551844254,C3395736721,2024-06-16,06:48:09,512.42,TRY,Alışveriş,Mobil Uygulama,Samsung S21,126.123.242.218,Mersin,Kredi Kartı,E-Ticaret,0
TRX4725159322,C1579790545,2024-03-27,18:55:22,83.29,TRY,Fatura Ödeme,Mobil Uygulama,iPhone 13,99.243.63.53,Antalya,,Market,0
TRX7625128474,C0127583921,2025-12-23,17:01:58,176.48,,Alışveriş,Web,Android Tablet,219.213.243.118,Manisa,Banka Kartı,Kuyumcu,0
TRX9540400392,C5152973376,2025-06-01,08:23:52,21.22,TRY,Para Çekme,Mobil Uygulama,Samsung S23,66.119.172.57,Trabzon,Kredi Kartı,Akaryakıt,0
TRX7805997019,C0150280974,2024-03-31,04:34:01,289.35,EUR,Havale/EFT,POS,Xiaomi Mi 11,145.155.16.173,Kocaeli,Kredi Kartı,Market,0
TRX8410370827,C4438352883,2025-04-15,21:14:10,87.62,TRY,Alışveriş,ATM,iPhone 13,,Tekirdağ,Banka Kartı,Elektronik,1
TRX0442851577,C8276180189,2024-08-20,01:34:25,58.24,TRY,İade,Mobil Uygulama,,27.66.39.168,Antalya ,Banka Kartı,Eğlence,0
TRX3333891681,C1669667931,2024-05-17,20:12:33,284.72,TRY,,POS,Android Tablet,,Antalya ,,Seyahat,0
TRX2973467592,C6779738850,2024-12-25,08:46:33,359.95,TRY,Alışveriş,ATM,iPhone 14 Pro,107.27.168.228,İstanbul,Kredi Kartı,Eğlence,0
TRX0055955334,C1818849826,2025-08-23,07:10:17,63.99,USD,Alışveriş,Web,Samsung S21,195.46.221.186,Antalya,Kredi Kartı,Yemek,0
TRX7404756648,C1022101959,2024-01-01,,,TRY,Havale/EFT,POS,Xiaomi Mi 11,,Konya,Sanal Kart,Kuyumcu,0
TRX1490155761,C0797741977,2024-09-27,21:57:59,"146,66",,İade,POS,Xiaomi Mi 11,57.41.119.118,Mersin,Kredi Kartı,Yemek,0
TRX5785741130,C6651290000,2025-12-02,17:44:09,264.35,TRY,Alışveriş,POS,Windows PC,229.33.102.128,Balıkesir,Kredi Kartı,Akaryakıt,0
TRX8940343658,C7414557334,,,47.46,EUR,Havale/EFT,POS,Samsung S21,120.99.181.164,Muğla,Banka Kartı,Eğlence,0
TRX9991594236,C5031540750,2024-03-16,16:02:36,49.66,TRY,Alışveriş,Web,iPhone 14 Pro,111.11.213.179,İstnbul,Kredi Kartı,Yemek,0
TRX4911526871,C6385125712,,20:32:32,146.2,TRY,Alışveriş,Web,Samsung S23,177.164.133.221,İstnbul,Kredi Kartı,Eğlence,0
TRX7775103775,C5058917321,2025-06-04,01:14:32,356.49,USD,Para Yatırma,Web,Samsung S21,172.93.216.219,Mersin,Banka Kartı,Giyim,0
TRX1655371730,C4258676092,2026-01-29,22:38:24,,TRY,Para Çekme,Web,Samsung S23,197.157.20.171,Trabzon,Kredi Kartı,E-Ticaret,0
TRX9567798894,C5442713891,2025-04-24,04:04:33,274.27,EUR,Alışveriş,Web,MacBook,24.147.80.222,Konya,Kredi Kartı,Eğlence,0
TRX5825431771,C4836030698,,12:11:09,235.07,TRY,Havale/EFT,POS,MacBook,250.201.30.232,Konya,Kredi Kartı,Yemek,0
TRX9835025059,C4210344846,,,880.23,TRY,Alışveriş,Çağrı Merkezi,mac book,236.207.161.48,İstanbul,Sanal Kart,Abonelik,0
TRX3695919259,C2384907539,2025-08-17,07:09:44,,TRY,Alışveriş,Mobil Uygulama,Samsung S23,199.188.143.58,Kayseri,Kredi Kartı,,0
TRX8778330717,C8859594393,2025-05-11,16:35:22,166.03,TRY,Havale/EFT,Mobil Uygulama,Samsung S23,28.56.171.113,Eskişehir,Kredi Kartı,Elektronik,1
TRX3675390743,C4499970073,2025-11-14,08:29:20,21.8,TRY,Alışveriş,Mobil Uygulama,Samsung S23,180.22.192.117,Gaziantep,Kredi Kartı,Giyim,0
TRX8798063226,C7065027671,2025-08-09,09:17:08,101.49,TRY,,ATM,Huawei P40,183.139.105.237,Bursaa,,Elektronik,0
TRX9056970786,C5517326519,2024-06-25,,"108,38",EUR,Alışveriş,Mobil Uygulama,iPhone 13,54.81.42.233,Samsun,Kredi Kartı,Abonelik,0
TRX6174537394,C7180267254,2024-11-16,21:15:47,-137.73,TRY,Havale/EFT,Mobil Uygulama,MacBook,233.45.77.172,Tekirdağ,Banka Kartı,Eğlence,0
TRX0031844190,C7936544070,2025-01-21,05:54:42,59.99,TRY,Para Çekme,Web,MacBook,,Tekirdağ,Kredi Kartı,Eğlence,0
TRX8408052551,C5012641901,2025-01-07,23:26:56,,,Alışveriş,,iPhone 14 Pro,248.25.82.162,Bursa,Banka Kartı,Yemek,0
TRX6442480788,C0618911007,2025-05-01,06:18:31,14.88,TRY,Para Çekme,Mobil Uygulama,Samsung S21,194.60.136.25,Mersin,Kredi Kartı,Elektronik,0
TRX5214546505,C1959531504,,03:58:56,167.25,EUR,Para Yatırma,Mobil Uygulama,,152.24.5.144,İstanbul,,Elektronik,0
TRX4609659920,C9568578273,20/03/2024,09:16:35,14.14,TRY,Alışveriş,Web,Windows PC,,Gaziantep,Kredi Kartı,Giyim,0
TRX0905744874,C2963182038,09-03-2025,05:55:50,138.81,TRY,Fatura Ödeme,Mobil Uygulama,Samsung S21,158.192.92.128,İzmir,,,0
TRX9522512759,C4470586375,2024-01-30,18:51:49,338.67,,Alışveriş,,iPhone 14 Pro,128.108.167.128,Adana,Kredi Kartı,Eğlence,0
TRX3405246955,C4158110940,2025-01-24,23:13:28,46.88,TRY,Para Çekme,Mobil Uygulama,iPhone 13,73.128.111.140,Bursa,Kredi Kartı,Sağlık,0
TRX2184983648,C0644116264,2024-11-17,15:13:08,35.89,,Havale/EFT,Web,Windows PC,223.153.238.3,Trabzon,Ön Ödemeli,Giyim,0
TRX8581662232,C9847082049,2024-06-05,,245.06,USD,Alışveriş,Mobil Uygulama,Windows PC,171.76.245.92,Eskişehir,Kredi Kartı,E-Ticaret,0
TRX2430932978,C6398488366,2026-01-25,20:55:57,54.06,TRY,Fatura Ödeme,Mobil Uygulama,Samsung S21,221.194.250.137,Muğla,Kredi Kartı,Giyim,0
TRX9167391960,C4674125613,2024-07-15,05:46:14,"32,64",TRY,Alışveriş,POS,Xiaomi Mi 11,3.124.231.136,Mersin,,Seyahat,0
TRX4485694606,C3789845632,2024-02-12,23:00:17,"201,78",USD,,,Windows PC,197.133.34.168,Antalya,,E-Ticaret,0
TRX2448840760,C1744548288,30/09/2024,,144.71,TRY,Havale/EFT,Mobil Uygulama,Samsung S23,39.16.173.89,,Kredi Kartı,Eğlence,1
TRX2854351835,C4533994708,2025-07-31,22:09:46,62.9,TRY,Havale/EFT,ATM,Samsung S21,,Adana,Kredi Kartı,Eğlence,0
TRX4280280237,C8898429316,2024-01-08,15:26:30,-60.31,TRY,,POS,Android Tablet,235.51.142.175,Manisa,Kredi Kartı,Giyim,0
TRX4457273784,C3637195377,2025-01-10,21:22:04,51.36,,Para Çekme,Mobil Uygulama,iPhone 14 Pro,191.184.159.251,Manisa,,,1
TRX9431946679,C9292427490,2024-11-14,13:33:33,206.75,TRY,Para Yatırma,Mobil Uygulama,MacBook,201.212.89.6,Tekirdağ,Banka Kartı,Eğlence,0
TRX4655545471,C8634488071,2025-10-21,17:17:36,25.97,TRY,Fatura Ödeme,Mobil Uygulama,Samsung S23,170.119.124.8,Şanlıurfa,Banka Kartı,E-Ticaret,0
TRX4907170753,C5351285552,03-01-2024,17:01:31,21.12,TRY,Alışveriş,,Samsung S23,232.86.175.128,Eskişehir,Kredi Kartı,Akaryakıt,0
TRX4342780049,C3547256244,2024-01-14,21:30:19,119.55,EUR,Para Çekme,Web,Windows PC,117.169.211.170,Antalya,Banka Kartı,Market,0
TRX9449870817,C3332857228,2025-03-06,05:40:21,71.22,TRY,Havale/EFT,Web,Huawei P40,106.157.223.132,Gaziantep,Banka Kartı,Abonelik,0
TRX1067911755,C4393616694,2024-05-16,,120.97 TL,TRY,Havale/EFT,POS,Samsung S23,110.120.102.209,Samsun,Kredi Kartı,Eğlence,0
TRX2462259222,C1993272638,,09:13:46,52.06,TRY,Havale/EFT,Mobil Uygulama,Xiaomi Mi 11,214.252.84.220,Samsun,Kredi Kartı,Abonelik,0
TRX2357155091,C2610880649,2024-07-30,19:09:28,154.42,,Alışveriş,Çağrı Merkezi,Xiaomi Mi 11,11.83.134.200,Gaziantep,Sanal Kart,Sağlık,0
TRX2032014071,C2523354087,2025-03-04,10:26:10,114.16,TRY,Alışveriş,Mobil Uygulama,Huawei P40,208.195.35.92,İstanbul,Kredi Kartı,Giyim,0
TRX4710155640,C4046430009,2024-01-29,08:32:06,91.97,,Havale/EFT,POS,iPhone 13,76.29.96.74,Ankara,Kredi Kartı,Elektronik,0
TRX9061243105,C1554052232,2025-06-12,09:28:29,170.56,TRY,Alışveriş,Çağrı Merkezi,Samsung S23,23.201.107.213,İzmir,Kredi Kartı,Giyim,0
TRX4148386015,C9471730137,2025-01-29,15:00:42,152.65,TRY,Alışveriş,Mobil Uygulama,Samsung S23,232.165.169.44,Diyarbakır,Banka Kartı,Sağlık,0
TRX1136765156,C1082106022,2024-01-01,02:30:27,26.42,TRY,,POS,Samsung S21,154.232.90.217,Eskişehir,Kredi Kartı,Elektronik,0
TRX6392480115,C9674302721,2024-07-21,20:27:39,366.17,TRY,Alışveriş,POS,Samsung S21,,İstanbul,,Elektronik,0
TRX4035762726,C6254584747,2024-02-15,09:04:04,413.23,TRY,Havale/EFT,POS,MacBook,148.156.210.206,Bursaa,Banka Kartı,Giyim,0
TRX7126520540,C3620374467,2024-02-04,15:30:34,79.59,TRY,Alışveriş,Web,Huawei P40,229.29.170.107,Balıkesir,Kredi Kartı,Eğlence,0
TRX9641032698,C4306551879,2025-06-16,03:18:18,,TRY,Fatura Ödeme,Web,iphne13,120.230.234.23,Mersin,Kredi Kartı,Elektronik,0
TRX4885765727,C7838037565,2024-11-22,,52.43,TRY,Alışveriş,Web,Huawei P40,86.185.185.134,Tekirdağ,Kredi Kartı,Market,0
TRX1783975245,C6830736150,2025-09-03,15:42:34,301.49 TL,USD,Para Yatırma,Web,Xiaomi Mi 11,92.135.101.104,Şanlıurfa,,Yemek,0
TRX6468334085,C3124563340,2024/07/15,04:30:13,50.87,TRY,Alışveriş,Çağrı Merkezi,,197.190.108.176,Muğla,Kredi Kartı,Seyahat,0
TRX7245504181,C2032639017,2025-06-30,21:33:59,17.79,TRY,Alışveriş,POS,,173.112.117.201,Manisa,Sanal Kart,Sağlık,0
TRX3077448494,C4681744466,2025-04-13,13:05:32,89.72,TRY,Alışveriş,Mobil Uygulama,iphne13,97.80.222.65,Konya,Kredi Kartı,Sağlık,0
TRX0607187143,C9787899237,2025-05-20,17:00:18,,TRY,Alışveriş,ATM,iPhone 14 Pro,216.88.106.44,Tekirdağ,Banka Kartı,Seyahat,0
TRX8560254882,C7879982562,,18:50:30,47.16,TRY,Fatura Ödeme,Web,iPhone 14 Pro,158.119.28.142,Diyarbakır,Kredi Kartı,Abonelik,0
TRX1780162214,C5458190203,2025-06-23,10:57:48,65.10 TL,TRY,Havale/EFT,Mobil Uygulama,Huawei P40,254.160.89.120,Şanlıurfa,Kredi Kartı,Akaryakıt,1
TRX6371622002,C0581759173,2025-07-22,,100.08,TRY,Fatura Ödeme,,,20.216.166.154,Balıkesir,Kredi Kartı,Elektronik,0
TRX4090970051,C4170260120,2025-07-17,11:25:12,,TRY,İade,Mobil Uygulama,Android Tablet,37.85.198.28,Bursa,Kredi Kartı,Sağlık,0
TRX5393067432,C5194887193,2024/12/06,20:54:42,76.42,TRY,Alışveriş,POS,Android Tablet,90.217.53.173,Kayseri,Kredi Kartı,Yemek,0
TRX9509969536,C2142422702,2025-07-05,14:25:22,122.84,TRY,Alışveriş,POS,,57.153.209.154,Eskişehir,Banka Kartı,Seyahat,0
TRX1918475143,C8414665865,2025-10-03,01:16:50,221.69,TRY,Para Çekme,,,47.245.165.157,Kayseri,Kredi Kartı,E-Ticaret,0
TRX8445058694,C5228733396,2025-07-16,22:58:29,136.24,USD,Alışveriş,POS,Huawei P40,121.137.188.2,Ankara,Banka Kartı,Eğlence,0
TRX7582391610,C3632592968,2025-04-08,10:34:40,297.5,TRY,Alışveriş,,,178.99.225.120,Konya,Kredi Kartı,Eğlence,0
TRX0752704225,C6682713172,2024-02-26,22:00:04,109.85,TRY,Alışveriş,Mobil Uygulama,iPhone 13,212.215.110.121,Bursa,Ön Ödemeli,,1
TRX4617970746,C9619905459,2024-11-28,01:46:22,72.91,TRY,Fatura Ödeme,POS,Huawei P40,131.15.198.190,Bursa,,Seyahat,0
TRX3055946163,C9924542616,2024-02-18,16:13:27,89.77,TRY,Havale/EFT,,,152.24.236.65,İzmir,Banka Kartı,Kuyumcu,0
TRX6013397145,C8278509921,2024-03-20,00:41:00,143.09,TRY,,Mobil Uygulama,MacBook,,Samsun,Kredi Kartı,Kuyumcu,0
TRX2697267007,C9711828202,2024-10-02,10:32:43,104.74,TRY,Alışveriş,Web,Samsung S21,210.93.95.1,Samsun,Sanal Kart,,0
TRX3093660870,C7211444527,2024-12-19,18:11:01,167.65,USD,Alışveriş,ATM,Windows PC,113.128.182.176,Samsun,Kredi Kartı,Elektronik,0
TRX9728450144,C9903994290,2025-02-06,05:15:50,57.33,TRY,Para Çekme,Çağrı Merkezi,mac book,91.18.173.40,,Kredi Kartı,,0
TRX4342658465,C0563984563,17-11-2025,01:18:53,7.09,GBP,Havale/EFT,ATM,,184.240.216.190,İstanbul,Ön Ödemeli,E-Ticaret,0
TRX6890684648,C6268551643,2025-08-04,04:28:37,77.2,TRY,Alışveriş,POS,Android Tablet,191.217.160.196,Şanlıurfa,Kredi Kartı,Kuyumcu,0
TRX3996122876,C7213868886,2024-11-18,05:01:31,28.18,TRY,Alışveriş,Web,iPhone 14 Pro,215.87.85.200,Kocaeli,Kredi Kartı,Kuyumcu,0
TRX4730038234,C3517517475,2024-09-12,,123.43,TRY,Fatura Ödeme,,,,Muğla,Banka Kartı,Elektronik,0
TRX0239793869,C6698799626,,22:36:30,76.83,TRY,Fatura Ödeme,,Samsung S21,94.166.64.7,Eskişehir,Banka Kartı,,0
TRX4961209340,C5965048282,2024-07-28,08:44:36,84.92,TRY,,ATM,MacBook,223.9.95.226,Trabzon,Banka Kartı,Akaryakıt,0
TRX9738344992,C6116222527,2025/11/04,14:32:36,16.21,TRY,Alışveriş,Mobil Uygulama,iPhone 13,,Şanlıurfa,Kredi Kartı,Seyahat,0
TRX7587479101,C2278738109,2025-08-18,01:41:01,75.48,TRY,Para Yatırma,Mobil Uygulama,iPhone 13,157.194.95.59,Samsun,Kredi Kartı,Seyahat,0
TRX2974352393,C9119568729,2025-06-04,20:51:30,310.07,TRY,Alışveriş,Çağrı Merkezi,iPhone 13,60.84.95.60,Konya,Banka Kartı,market,0
TRX7638026720,C7512237706,,,40.92,USD,Alışveriş,Mobil Uygulama,,237.16.85.45,Adana,Kredi Kartı,Market,0
TRX1754462193,C0273519330,2025-04-18,12:41:21,32.11,TRY,Fatura Ödeme,,MacBook,,Antalya,Kredi Kartı,Abonelik,0
TRX6968055037,C5074243615,2025-09-17,03:57:42,128.84,TRY,Para Çekme,Mobil Uygulama,Samsung S21,217.24.119.138,İzmir,Kredi Kartı,Sağlık,0
TRX5693542363,C2548546603,2024-02-24,10:31:41,87.25,TRY,Alışveriş,POS,MacBook,14.15.228.47,Manisa,,Eğlence,0
TRX4092651211,C2834288616,2024-05-14,,79.47,,Havale/EFT,POS,Win pc,175.42.24.151,Konya,Banka Kartı,Kuyumcu,0
TRX0708097268,C6047875714,2025-01-27,15:41:59,77.06,TRY,Alışveriş,POS,,236.14.180.141,Trabzon,Ön Ödemeli,E-Ticaret,0
TRX9878090514,C9624802908,,07:03:23,178.06,TRY,Havale/EFT,Mobil Uygulama,MacBook,26.217.154.17,İstnbul,Kredi Kartı,Market,0
TRX1642391800,C7185103933,2025-06-24,03:27:59,,TRY,Fatura Ödeme,Mobil Uygulama,,90.177.17.29,Mersin,Kredi Kartı,E-Ticaret,0
TRX0210807422,C7963117741,2024-11-01,,11.75,TRY,Alışveriş,POS,MacBook,197.165.71.214,Ankr,Kredi Kartı,Elektronik,0
TRX0473528557,C4144614971,2026-01-29,21:59:35,210.29,TRY,Havale/EFT,POS,Samsung S23,231.113.219.203,Ankara,Kredi Kartı,Eğlence,0
TRX4565745444,C3416337194,2024-08-16,00:37:01,78.61,TRY,Alışveriş,Web,Android Tablet,5.65.101.80,Gaziantep,Ön Ödemeli,Abonelik,0
TRX6052757800,C1854972371,2024-10-01,04:00:32,53.03,,Fatura Ödeme,Web,Xiaomi Mi 11,82.224.43.201,Balıkesir,,Yemek,0
TRX0871621211,C3048246555,2024-01-03,02:11:10,78.02,USD,Alışveriş,Mobil Uygulama,Samsung S23,46.38.164.78,,Ön Ödemeli,Elektronik,0
TRX2589348950,C1311206077,2024/07/07,22:30:34,56.14,TRY,,POS,Samsung S23,110.49.10.62,İstnbul,Kredi Kartı,E-Ticaret,0
TRX0989788280,C9668866835,2024-06-28,18:45:16,42.4,TRY,Alışveriş,Mobil Uygulama,Windows PC,2.10.175.23,Mersin,Kredi Kartı,Elektronik,0
TRX6400736486,C5842847005,2025-08-04,12:58:51,122.54,TRY,Alışveriş,Web,iPhone 14 Pro,39.112.192.235,Adana,Banka Kartı,Yemek,0
TRX2315356691,C5516460898,2024-09-14,15:00:26,494.34,TRY,Alışveriş,POS,Samsung S21,99.209.141.128,Eskişehir,Sanal Kart,Giyim,0
TRX4196525861,C8308167657,2024-06-04,09:10:19,,TRY,Para Çekme,Mobil Uygulama,Samsung S23,229.207.129.12,Antalya,Sanal Kart,E-Ticaret,0
TRX6170256691,C5138629768,2024-08-26,03:54:04,173.79,TRY,Para Yatırma,,Android Tablet,135.123.142.82,Şanlıurfa,Banka Kartı,Yemek,0
TRX0901573513,C9830580781,2025-03-04,21:05:21,119.86,TRY,Havale/EFT,Mobil Uygulama,Samsng S23,226.194.1.51,Kocaeli,Kredi Kartı,Akaryakıt,0
TRX2745746200,C7305951895,2025-08-21,21:12:09,70.52,TRY,Alışveriş,Mobil Uygulama,iPhone 13,5.14.109.172,Kocaelı,Sanal Kart,Elektronik,0
TRX6085732273,C5177887429,2026-01-15,05:35:06,134.83,TRY,Alışveriş,Web,Android Tablet,,Kayseri,Kredi Kartı,Sağlık,1
TRX5713304746,C5609016921,2024-02-06,16:52:40,230.04,TRY,Alışveriş,Çağrı Merkezi,Android Tablet,189.52.89.62,Mersin,Banka Kartı,Kuyumcu,0
TRX8907786492,C9403205632,2025-10-02,22:40:36,109.92,TRY,Alışveriş,Mobil Uygulama,iPhone 14 Pro,5.195.151.194,Antalya,Kredi Kartı,Yemek,0
TRX0827599743,C5897900332,2024-10-23,12:22:14,61.9,TRY,Alışveriş,ATM,MacBook,120.213.60.147,,,Sağlık,0
TRX8819583682,C0976853040,2025-09-07,,12.0,TRY,Alışveriş,Mobil Uygulama,iPhone 13,21.110.55.204,,Banka Kartı,,0
TRX7563791246,C0382996869,2024-01-29,17:28:54,137.44,TRY,Havale/EFT,POS,MacBook,42.139.107.126,Antalya,,Elektronik,0
TRX2998174033,C3217679519,2025-04-22,10:59:25,75.3,TRY,Alışveriş,Web,iPhone 13,201.152.173.39,Balıkesir,Kredi Kartı,Eğlence,0
TRX5839123739,C1722941255,2025-12-10,15:51:18,,TRY,Alışveriş,Çağrı Merkezi,iphne13,199.23.54.142,İstanbul,Banka Kartı,Seyahat,0
TRX0589018546,C9386439622,2024-01-30,,"111,84",TRY,Havale/EFT,Web,Xiaomi Mi 11,18.37.79.120,Kony,Kredi Kartı,Market,0
TRX2892709753,C1724671447,2025-08-25,00:45:29,74.51,TRY,Fatura Ödeme,,iPhone 13,,Konya,Banka Kartı,Yemek,0
TRX3884456496,C9322098652,2024-03-28,20:57:59,30.89,TRY,Alışveriş,POS,MacBook,191.194.228.7,Tekirdağ,Kredi Kartı,,0
TRX4384119676,C1868850894,18.01.2026,21:28:28,130.71,TRY,Para Çekme,Çağrı Merkezi,iPhone 14 Pro,92.123.62.69,Şanlıurfa,Kredi Kartı,Kuyumcu,0
TRX6887196739,C5007833949,21.07.2025,05:38:21,41.89,TRY,Alışveriş,Çağrı Merkezi,Xiaomi Mi 11,124.241.131.141,Konya,Sanal Kart,Elektronik,0
TRX6577584117,C0719565418,24.11.2025,20:36:25,44.51,TRY,Alışveriş,Mobil Uygulama,Samsng S23,183.66.17.245,,Ön Ödemeli,Elektronik,0
TRX6009119733,C0021679029,2025-11-15,14:21:50,86.03,TRY,Fatura Ödeme,Web,,131.22.179.150,Samsun,Banka Kartı,Abonelik,0
TRX5911956699,C2866564235,2024-08-28,,322.45,,Havale/EFT,Mobil Uygulama,Huawei P40,51.126.185.99,Trabzon,Banka Kartı,,0
TRX8936736887,C4845596340,12-11-2024,14:54:23,,EUR,Para Yatırma,Web,Xiaomi Mi 11,153.100.112.6,Muğla,Banka Kartı,Sağlık,0
TRX4578049475,C4454549078,2025-06-10,,56.16,TRY,Alışveriş,Mobil Uygulama,Samsung S23,34.124.29.37,Antalya,Kredi Kartı,Akaryakıt,0
TRX9673070361,C1359761124,2024-05-13,23:38:33,23.07,TRY,Alışveriş,Mobil Uygulama,,133.185.97.15,Adana,Kredi Kartı,Yemek,0
TRX6828842457,C1720465127,2024-08-21,19:26:11,123.35,TRY,İade,Mobil Uygulama,Huawei P40,29.203.113.46,Diyarbakır,Ön Ödemeli,Seyahat,0
TRX6168410578,C3171596702,2024-03-16,12:53:43,142.73 TL,TRY,Havale/EFT,Mobil Uygulama,iPhone 14 Pro,201.252.57.38,Diyarbakır,Banka Kartı,Abonelik,0
TRX4738944625,C2336758362,2025/11/07,03:27:34,67.84,USD,Alışveriş,Web,Samsng S23,136.172.183.158,Gaziantep,Banka Kartı,Akaryakıt,0
TRX2962308529,C2413456322,2024-07-07,20:27:04,123.23,TRY,Alışveriş,Çağrı Merkezi,Samsung S21,171.5.50.234,Diyarbakır,Sanal Kart,Elektronik,0
TRX4744177419,C2054318024,,22:58:24,67.18,TRY,Fatura Ödeme,Mobil Uygulama,iPhone 13,34.93.77.69,Antalya,Banka Kartı,,0
TRX8138381152,C5300500111,2024-12-10,18:13:23,94.7,TRY,Para Yatırma,,Android Tablet,,Muğla,Banka Kartı,Market,0
